Word,Count
/,938
the,434
</summary>,294
<summary>,292
to,259
=,239
code,238
------------------------------------------------------------------------------,238
if,229
and,176
a,170
is,168
{,166
},153
this,145
was,136
file,135
be,134
by,130
will,129
This,122
tool,121
generated,120
behavior,119
lost,119
incorrect,119
</auto-generated>,119
cause,119
Changes,119
Runtime,119
regenerated,119
may,119
<auto-generated>,119
InitializeComponent,111
for,80
Version:4.0.30319.18063,77
public,67
string,66
1,61
new,56
2,55
in,50
of,45
on,45
3,42
return,36
from,32
characters,32
4,30
data,27
resource,27
are,26
set,26
Version:4.0.30319.269,26
server,26
+,26
not,25
name,25
with,24
bool,23
==,23
-,23
var,23
<param,23
assembly,22
private,21
or,21
//,21
value,20
void,20
get;,20
set;,20
it,19
all,19
{0},19
int,18
true;,18
false;,18
else,17
script,17
using,17
>,17
i,17
ActionStatus,16
class,16
an,15
\"\\,15
found,15
as,14
try,14
replaced,14
\<,\,14
\&,\,14
\&amp;,\,14
\&gt;,\,14
-The,14
respectively,14
\&lt;,\,14
res,14
then,14
special,14
we,13
encode,13
that,13
you,13
Enums.Status.Pass;,13
when,13
type,12
Version,12
test,12
5,12
attribute,12
break;,12
Gets,12
variable,12
command,12
can,12
action,12
true,12
get,11
no,11
which,11
current,11
start,11
information,11
case,11
status,10
following,10
:,10
Get,10
target,10
\{0}"\,\,10
index,10
Status,10
logic,10
entity,10
step,10
holds,10
message,10
speed,9
If,9
suite,9
time,9
!=,9
Revision,8
wait,8
\"\option\,8
\{1}"\,\,8
property,8
your,8
ComVisible,8
6,8
need,8
Build,8
copy,8
[assembly:,8
retVal,8
Interaction,8
only,8
row,8
list,8
Port,8
values,8
specific,7
messages,7
here,7
element,7
display,7
send,7
<,7
log,7
});,7
0;,7
Info,7
(int,7
Host,7
The,7
Sleep,7
i++),7
execute,7
before,7
Version:4.0.30319.239,7
up,7
\message,\,6
close,6
message));,6
add,6
Returns,6
\DateTime.Now,\,6
timer,6
Start,6
ClientMessage,6
+=,6
null),6
catch,6
message),6
save,6
result,6
move,6
connection,6
_loggerQueue.Enqueue(new,6
message);,6
has,6
COM,6
Time,6
next,6
end,6
static,6
label,6
ex),6
-1),6
ActionData,6
lable,6
create,6
update,6
root:ortech@192.168.1.3,6
project,6
response,6
retrieving,6
Singleton.Instance<ClientReportMailBox>().AddMsgToMailBox(new,6
Define,5
fix,5
Label,5
selected,5
(used,5
stream,5
dictionary,5
startPos,5
\"\"\;\,5
failed,5
execution,5
pause,5
setting,5
\-hostkey="\ssh-rsa\,5
s,5
System.DateTime.Now,5
\xx:xx:xx:xx:xx:xx:xx:xx:xx:xx:xx:xx:xx:xx:xx:xx"\\,5
hold,5
/command,5
\"\,\,5
item,5
VariableView,5
about,5
ShortName()));,5
each,5
Application,5
1024,5
reset,5
Version:4.0.30319.17929,5
//1,5
return;,5
saved,5
process,5
res;,5
\"\"\);\,5
should,5
inside,5
stop,5
(var,5
\"\exit"\\,5
winscp.com,5
Wait,5
after,5
You,5
source,5
method,5
RunProgramView,5
0,4
foreach,4
consists,4
always,4
while,4
blockLogWrite,4
types,4
below,4
starting,4
\,\,4
*,4
Point,4
_type,4
Setting,4
below:,4
Error,4
received,4
access,4
false,4
Entry,4
use,4
last,4
Number,4
located,4
makes,4
\LableObject(lable._actionData.LableName,\,4
default,4
activated,4
AboutWin,4
theme,4
Change,4
other,4
Value,4
shown,4
_actionData.Port));,4
server</param>,4
modify,4
via,4
localized,4
there,4
depands,4
exist,4
another,4
instance,4
dictionaries),4
listening,4
through,4
override,4
SleepView,4
passes,4
\CommonHelper.AddToLogFile(LogFileName,\,4
these,4
LoopCount,4
one,4
Designer,4
\AssemblyVersion("\1.0.*"\)]\,4
escape,4
visible,4
specify,4
filter,4
client,4
LableName,4
Major,4
ProcessStartInfo,4
_actionData,4
0),4
motor,4
Minor,4
Data,4
specified,4
out,4
version,4
INITIAL_PATH,4
count,4
10,4
Information,4
\"\FF\,4
General,4
endPos,4
Enums.Status.Fail;,4
length,4
\Dictionary<string,\,4
finish,4
About,4
remove,4
\_lableList.Add(lable._actionData.LableName,\,4
application,4
where,4
'*',4
controlled,4
LableIndex1,4
\found,\,4
line,4
\"\"\);//removes\,4
tmpString,4
components,4
1px;,4
associated,4
&,4
ResGen,4
attributes,4
returns,4
\page,\,4
confirm,4
ActionType,4
values:,4
strings,4
input,4
Numbers,4
exit,4
App,4
\name="\Message"\>The\,4
\COM,\,4
failures,4
four,4
CreateDelegate,3
border-width:,3
called,3
Com,3
count;,3
cycles,3
ex.ToString();,3
Stop,3
see,3
order,3
entities,3
sent,3
proces,3
them,3
SqlitView,3
session,3
\/home2"\\,3
adding,3
catch(Exception,3
MotorControlerView,3
_script.Status,3
Name,3
report,3
otherwise,3
do,3
//2,3
batch,3
activate,3
\AutoApp.Logger.WriteInfoLog(string.Format("\Starting\,3
border-color:,3
ScriptObj,3
been,3
PingView,3
buttons,3
FileView,3
//if,3
int.Parse(Singleton.Instance<SavedData>().GetVariableData(lable._actionData.Loops))));,3
match,3
System.Threading.ManualResetEvent(false).WaitOne(1000);,3
t1,3
_conn,3
ResetLog(),3
configured,3
RelayControlView,3
text,3
StepEntity,3
GetPropertyValue,3
==============================,3
_actionData.Host));,3
switch,3
group,3
singleton,3
run,3
AutoItUI,3
AddEventHandler,3
\logger.Log(LogLevel.Info,\,3
\sender,\,3
flow,3
recived,3
since,3
sub,3
Hr80PSView,3
link,3
its,3
assign,3
List<string>();,3
parameters,3
Action,3
TargetVar,3
(s.Action.TypeId,3
t2,3
delimited,3
dialog,3
\XmlDocument,\,3
callback,3
DateTimeView,3
SetPropertyValue,3
have,3
\off"\\,3
ListActionView,3
A,3
GeneratedInternalTypeHelper,3
event,3
Now,3
elements,3
/},3
scripts,3
color,3
detect,3
Waits,3
Singleton.Instance<ActionHandler>().Flowhandler.ActiveScriptEntity,3
serializer,3
used,3
<returns>The,3
\binary"\\,3
LableView,3
Only,3
Sends,3
appears,3
any,3
does,3
Execution,3
than,3
Passed,3
between,3
Check,3
cycle,3
some,3
e),3
<typeparam,3
Table,3
\process,\,3
Clears,3
transfer,3
building,3
Server,3
deleted,3
go,3
reading,3
XmlLayoutSerializer(myDock);,3
box,3
active,3
Console.ReadLine();,3
host,3
Enums.Status.Fail),3
already,3
port,3
name='{0}',3
isReading,3
(Exception,3
for</param>,3
equals,3
AutoLunchToolBar,3
CreateInstance,3
/table.imagetable,3
XML,3
first,3
Set,3
01,3
=================,3
driver,3
ElapsedEventArgs,2
type;,2
CurrentUICulture,2
//Returns,2
logfile;,2
tse.Name));,2
7.5;,2
.,2
_logFileName;,2
round,2
Test,2
\Abort"\\,2
UICulture,2
until,2
passed,2
/str,2
Studio,2
ignored,2
SystemView,2
====>,2
~1.04,2
number,2
\NeutralResourcesLanguage("\en-US"\,\,2
Looks,2
SshView,2
Version:4.0.30319.18052,2
LableList[_actionData.LableName].LoopCount,2
high,2
host.Close();,2
\"\PauseStopOrContinueAction"\\,2
textToSend);,2
ID,2
13mm),2
In,2
changed,2
ActionData(),2
\SSHConnection.Connect(_conParam,\,2
per,2
content,2
\controlID,\,2
title,2
once,2
\autoit.ControlSend(windowTitle,\,2
uncomment,2
DataGrid,2
LO,2
Then,2
_ReadBuffer.Start();,2
.ResX,2
ConditionView,2
segment),2
(on,2
updating,2
Password);,2
Update,2
cant,2
_script.Entities.Count;,2
\writer.WriteElementString("\Enable"\,\,2
Enums.Status.NoN;,2
en-US,2
RunProgramView.xaml,2
empty,2
selectedStepEntity.Action.Details[0];,2
_blockWrite,2
_script.Entities[i];,2
\AutoApp.Logger.WritePassLog(string.Format("\Serial\,2
back,2
GUID,2
exposed,2
cached,2
Params,2
TimersView,2
verify,2
To,2
//it,2
rounds,2
#999999;,2
\string.Format("\=========\,2
ScriptView,2
window,2
actionData),2
Failure,2
actionData;,2
find</param>,2
Rs232View,2
lable),2
\_actionData.Port,\,2
Math.Round(length);,2
lookups,2
look,2
\applications,\,2
int.Parse(Singleton.Instance<SavedData>().GetVariableData(LableList[_actionData.LableName].LoopCountStr));,2
CommonHelper.DeleteFile(LogFileName);,2
13,2
StepEntitiesList,2
MidpointRounding.AwayFromZero);,2
SerachUserControl,2
\========="\,\,2
segment.Substring(startPos,2
\"\en-US"\\,2
\SshStream(Host,\,2
Close,2
coloring,2
Enable.ToString());,2
base(Enums.ActionTypeId.ServerComAction),2
For,2
could,2
struct,2
strFullLog,2
handler,2
Visual,2
\captureStandardOutput='false']"\,\,2
volt,2
TelnetView,2
string.Empty;,2
\(ActionType)Enum.Parse(typeof(ActionType),\,2
Status.ToString()));,2
limiter,2
data);,2
etc,2
Enums.ActionTypeId.Lable),2
clean,2
parameter),2
All,2
ABC,2
Add,2
reader.BlockLogWrite,2
{1},2
strongly,2
lower,2
containers,2
NeutralResourceLanguage,2
disable,2
Version:4.0.30319.18034,2
movement,2
border-style:,2
-1;,2
\"\http://localhost:2090/ServerCommunication"\\,2
connect,2
zero,2
UserName,2
carriage,2
ICommand,2
typelib,2
\server,\,2
Details.Add(type.ToString());,2
exchange,2
(res),2
11,2
startString,2
MainWindow,2
\AutoApp.Logger.WritePassLog(string.Format("\Found\,2
solid;,2
\class,\,2
\otherwise,\,2
operationCmb.Text);,2
ServiceHost,2
timeout,2
default:,2
telnet,2
\Details[1],\,2
strongly-typed,2
(endPos,2
gets,2
edit,2
\WSHttpBinding(),\,2
generic,2
open,2
goto,2
endpoint,2
14,2
LOW,2
tmpString;,2
Constructor,2
nothing,2
null,2
FileHandler.ExtructScriptFromFile(_actionData.Name);,2
Enums.ActionTypeId.Sleep),2
7,2
xml,2
\reader,\,2
scanning,2
description,2
Executing,2
operationCmb.Text,2
loop,2
padding:,2
...Change,2
MessageView,2
break,2
\Pass,Fail,Skipped\,2
appends,2
commands,2
ssh,2
reader.ReadInnerXml();,2
entity),2
LogFileName,2
\app,\,2
TextManipulationView,2
Singleton.Instance<SavedData>().TelnetCommunications.Remove(_actionData.Host);,2
TestSuite,2
looking,2
172.16.7.184,2
type.</typeparam>,2
Overrides,2
SftpView,2
searchfiles,2
want,2
============================================================================================================,2
<returns>True,2
.csproj,2
Finished,2
implemented,2
Suite,2
Selection,2
rows,2
\Math.Round(3.445,\,2
service,2
_type;,2
s.Close();,2
3.45,2
so,2
_actionData.TargetVar));,2
activating,2
12,2
stepEntetiesCount,2
UltimateResourceFallbackLocation.Satellite)],2
<PropertyGroup>,2
rerun,2
timeout--;,2
\name='{0}']"\,\,2
just,2
_actionData;,2
\00"\\,2
protection,2
resulting,2
enum,2
\exist"\,\,2
OFF,2
can't,2
};,2
_lableList;,2
Report,2
base(Enums.ActionTypeId.ScriptExecute),2
Launch,2
\01"\\,2
sometimes,2
chanel,2
255,2
Details[0]);,2
stay,2
DateTime.Now;,2
\"\"\,\,2
button,2
future,2
WayneSimView,2
Control,2
\0,\,2
\files,\,2
output,2
typed,2
LabelAction.ActionType.Create),2
labels,2
_ReadBuffer.Stop();,2
referance,2
ResourceManager,2
Connect(),2
Incoming,2
\option,\,2
action),2
\host.AddServiceEndpoint(typeof(ICommunication),\,2
(_script.Status,2
SwitchView,2
\Name,\,2
Thread.Sleep(200);,2
clear,2
\example,\,2
(startPos,2
\AutoApp.Logger.WriteFailLog(string.Format("\Lable\,2
Timeout,2
enable,2
retVal;,2
Execute(),2
mm,2
dispose,2
navigation,2
error,2
ServerComView,2
touching,2
reader,2
!aaMMddddd(cr),2
\name="\propertyName"\>Property\,2
english,2
DATA,2
Create,2
auto-generated,2
Enable,2
at,2
variables,2
s);,2
AutoApp.Logger.WriteInfoLog(,2
\fails,\,2
_actionData.Name));,2
VS,2
08,2
ClockWin,2
US,2
endString,2
9,2
retString,2
\LoggerMessage(LogLevel.Info,\,2
true);,2
EmailView,2
\2,\,2
serverCommand,2
product's,2
DictionaryActionView,2
<UICulture>,2
valueTxb.Text,2
\member,\,2
,2
delay,2
<summary>Finds,2
Enums.Status.Skipped,2
\strings,\,2
Construct(),2
full,2
localizable,2
_LogMessagesTimer.Start();,2
rebuild,2
======================================================================,2
click,2
\type,\,2
tests,2
ActionBase,2
<UICulture>CultureYouAreCodingWith</UICulture>,2
Enums.Status.Pass,2
Connect();,2
TableView,2
StronglyTypedResourceBuilder,2
like,2
//{,2
(100,2
Service,2
thread's,2
\UserName,\,2
\name="\WaitFor"\>The\,2
GoTo,2
Script,2
times,2
SettingsWindow,2
/on,2
currently,2
(the,2
SettingsView,2
Password,2
stepEntetiesCount;,2
fileName);,2
\"\\r\n"\;\,2
dictionaries,2
both,2
\first,\,2
Singleton.Instance<ActionHandler>().Flowhandler,2
8,2
Singleton.Instance<SaveData>().Test.Entities.RemoveAt(model.SelectedTestEntitiesIndex);,2
\ready,\,2
protected,2
low,2
metadata,2
ON,2
AutoApp.Logger.WriteFatalLog(ex.ToString());,2
user,2
stepentities,2
\enabled,\,2
begin,2
Singleton.Instance<ActionHandler>().ActiveScript.Entities),1
Encoding.Default);,1
\config.AppSettings.Settings["\StartupScript"\].Value;\,1
lastLayout;,1
function,1
gust,1
greater,1
cmd,1
GetData(),1
value</param>,1
conditions,1
GetObject().Connect();,1
(step,1
trying,1
similar,1
System.Threading.ManualResetEvent(false).WaitOne(5000);,1
bytes,1
\/WebInstall.log"\\,1
\AutoApp.Logger.WriteFailLog(string.Format("\Label\,1
LableList,1
FlowHandler(),1
\AutoApp.Logger.WriteWarningLog(string.Format("\File\,1
host;,1
(operationCmb.Text,1
ToDo,1
_loggerQueue.TryDequeue(out,1
\follows,\,1
Enums.Status.Skipped;,1
\AutoApp.Logger.WritePassLog(string.Format("\Reset\,1
fields,1
dataGrid.Items.Refresh();,1
saving,1
successful</returns>,1
_loggerQueue;,1
SCRIPT_PATH,1
Try,1
UpdateLables();,1
this;//setting,1
fileExist,1
sure,1
generate,1
server.AcceptSocket(),1
!00280008000(cr),1
processing,1
expand,1
\//ssh.Write("\"\);//sending\,1
Down,1
settings,1
_LogMessagesTimer=,1
SVN,1
s.Execute();,1
charcters,1
AutoApp.Logger.WriteFatalLog(ex.Message);,1
scroll,1
find,1
ExpandSubContainers(ScriptsTreeView);,1
\logger.Log(msg.Level,\,1
testEntity.Comment,1
un,1
SUITE_PATH,1
(!string.IsNullOrEmpty(_actionData.TargetVar)),1
Decode,1
data1,1
AutomationClient.ModuleHelper.WindowFactory(AutomationCommon.Enums.ActionTypeId.Non).ShowDialog();,1
Encoding.Unicode);,1
WPFAboutBox1,1
model.CopyTestEntities.Clear();,1
ActionType.GetServerStatus:,1
ActionType.Dissconnect:,1
(((LabelAction)s.Action)._type,1
\SendCommand("\"\);\,1
EIGHT,1
!!!!!,1
Timer,1
Translate,1
persantage,1
\AutoApp.Logger.WriteInfoLog("\Telnet\,1
hover,1
char,1
steps,1
\"\Canceled!"\;\,1
(ServiceHost,1
!00301,1
\"\{Old\,1
GetObject().GetRecivedDate();,1
activateWcfServer,1
seep,1
limit,1
System.Text.Encoding.UTF8;,1
\command,string\,1
(Singleton.Instance<ActionHandler>().Flowhandler.ActivateGoTo()),1
RemoveObject();,1
matched</returns>,1
vas,1
\string.Format("\Sleep\,1
(_conn,1
desired,1
period,1
ahead),1
let's,1
Singleton.Instance<SavedData>().Variables.Keys.ToList<string>();,1
Restart,1
Sec,1
variable);,1
key,1
GetValue(command);,1
seleted,1
(s,1
_serialPort.Encoding,1
\LoggerMessage(LogLevel.Fatal,\,1
condition,1
_ReadBuffer.Interval,1
//},1
\"\Clear\,1
IVariableData>,1
IPHostEntry,1
Thread.Sleep(100);,1
_sourceVar,1
_conn=null;,1
(Singleton.Instance<SavedData>().TelnetCommunications.ContainsKey(_actionData.Host)),1
\StreamReader(fileName,\,1
Params1,1
\LogManager.Configuration.FindTargetByName("\file"\)\,1
\name="\T"\>the\,1
<c>T</c>,1
data[2]-,1
(Singleton.Instance<ActionHandler>().Flowhandler.FindLableIndex(LableName)),1
automatically,1
\title,\,1
IPAddress[],1
LableList[_actionData.LableName].CurrentLoopCount++;,1
duplicate,1
\AutoApp.Logger.WriteInfoLog(string.Format("\##teamcity[testSuiteFinished\,1
DisConnect(),1
GetLastExecutionStatus();,1
&&,1
\SendCommandToServer(ServerComActionOld.ActionType.GetServerStatus,null);\,1
\AutoApp.Logger.WriteInfoLog(string.Format("\Appending\,1
(testDataGrid.SelectedItems.Count,1
procStartInfo.RedirectStandardOutput,1
attribute.</param>,1
show,1
comment,1
\"\>"\);//encode\,1
\CleanDisplay(Encoding.ASCII.GetString(m_byBuff,\,1
Details.Add(_actionData.Name);,1
down,1
found</param>,1
\StreamReader("\c:\\avdocLayout.xml"\))\,1
loopCount;,1
child,1
away,1
headers..etc.,1
serializer.Serialize(sw);,1
Disable,1
\Warn,\,1
detail,1
(command.Contains(ServerComAction.ActionType.GetServerStatus.ToString())),1
application's,1
lable.LableList,1
\AutoApp.Logger.WriteInfoLog("\Closing\,1
fileName,1
(Singleton.Instance<SavedData>().Variables.ContainsKey(_actionData.Target)),1
String}~{New,1
data[0]-,1
Write,1
uri,1
stopOrSkip,1
tear,1
-c:true,1
found.</returns>,1
\"\\\Logs"\;\,1
LogManager.GetCurrentClassLogger();,1
retrieve.</param>,1
XmlAttribute,1
params,1
\"\\\Scripts"\;\,1
documents,1
\AutoLunch"\);\,1
(handler.ActiveTestSuite.Entities.Count,1
\AutoApp.Logger.WritePassLog("\Finished\,1
hyperlink,1
(suppres,1
scripts),1
System.Drawing.Bitmap,1
styling,1
Params9,1
addr,1
[],1
\name="\parms"\></param>\,1
Remove,1
s;,1
Lable,1
ExecuteSuite,1
field,1
SettingsWindow.xaml,1
file));,1
\Activated,\,1
commands:,1
serializer.Deserialize(stream);,1
\CommonHelper.ExtructValueBetween("\{"\,\,1
SshObj1(string,1
\Dissconnect,\,1
enabled,1
\c:\WebInstall.log"\\,1
newString);,1
\"\\r"\);\,1
Continuous!!,1
host.Open();,1
ExecuteSuite(command);,1
up/down,1
font-size:42px;,1
null;,1
\attribute,\,1
procedure,1
(not,1
company,1
Process.Start(new,1
=new,1
sr,1
font-family:,1
based),1
\StreamReader(filename,\,1
\name="\DataToWaitFor"\>The\,1
program,1
\AutoApp.Logger.WriteWarningLog(string.Format("\Action\,1
((SleepAction)step.Action).GetRemainingDuration());,1
created,1
\"\cmd"\\,1
\command"\,command));\,1
define,1
data.db,1
(command.Contains(ServerComAction.ActionType.ExecuteSuite.ToString())),1
\segment.IndexOf(endString,\,1
\"\&"\).Replace("\&lt;"\,\,1
relay,1
(stopOrSkip),1
startPos);,1
everything,1
ActiveScriptEntity.Script.Entities[i];,1
(comma,1
10000),1
directly,1
key),1
\SetAcceleration,\,1
GetObject(),1
ScriptActionOld(),1
become,1
background:#AAAAAA;,1
(_resetLog),1
Reset,1
td,1
\AutoApp.Logger.WriteFailLog(string.Format("\Failed\,1
less,1
=XmlReader.Create(new,1
(handler.IsActive),1
Singleton.Instance<ActionHandler>().StopSkipOrContinueOnFail(en.Action.ActionStatus);,1
\((variable.Contains("\{"\))\,1
\"\rmdir\,1
devices,1
Loop,1
multiple,1
\name="\xpathQuery"\>An\,1
literal,1
(!blockLogWrite),1
\startString,\,1
/h1,1
change,1
GetRunningStatus();,1
\portTxb.Text,\,1
over,1
~ScriptingTelnet(),1
ServerComAction.ActionData(),1
sent</returns>,1
\Action"\);\,1
(can,1
T,1
upon,1
\CommonHelper.AppandStringToFile(string.Format("\=======\,1
HELPERS,1
retString;,1
\name="\DataToWaitFor"\>A\,1
Once,1
actions,1
configuration,1
loopCount),1
_logFileName,1
xaml,1
ConcurrentQueue<LoggerMessage>();,1
(closeOnFinish),1
+System.DateTime.Now.ToString(),1
\password,string\,1
return</param>,1
Disconnect();,1
-header,1
1));,1
\{0},Loop\,1
short,1
strategy,1
target.FileName,1
\CommonHelper.AppandStringToFile(InternalVariables[varName].GetValue(),\,1
\"\\r\nSENDING\,1
---new,1
job,1
fails</returns>,1
into,1
((System.Windows.FrameworkElement)(((System.Windows.Controls.ContentControl)(sender)).Content)).DataContext;,1
decimal.Parse(delay),1
