File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\AboutWin.xaml.cs,256,165,90,16,26,0,65,421,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\App.xaml.cs,11,7,3,0,1,0,3,9,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Class1.cs,6,6,2,0,0,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Designer.xaml.cs,462,346,198,27,56,3,60,219,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\SerachUserControl.xaml.cs,96,77,47,2,16,0,3,9,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\SettingsWindow.xaml.cs,51,43,29,0,5,0,3,9,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\General\Folder.cs,139,109,69,8,25,2,5,29,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\General\HelperClass.cs,220,190,112,30,29,3,1,14,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\General\ModuleHelper.cs,138,106,67,32,32,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\General\RelayCommand.cs,83,38,18,2,19,0,26,51,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\General\SaveData.cs,87,67,45,4,19,3,1,20,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Models\DesignerViewModel.cs,908,751,467,98,141,22,16,236,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Models\GeneralViewModel.cs,162,119,92,21,43,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Models\IAutomationWindow.cs,7,7,3,0,0,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Models\IToolBox.cs,13,10,6,0,3,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Models\ObservableCollectionExt.cs,95,82,45,4,13,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Models\RadioBoolToIntConverter.cs,36,31,17,8,5,1,0,19,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Models\ViewModelBase.cs,54,31,15,1,9,0,14,57,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Models\Memento\Originator.cs,35,29,15,4,6,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\AboutWin.g.cs,151,104,52,2,32,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\AboutWin.g.i.cs,151,104,52,2,32,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\App.g.cs,71,42,29,0,11,0,18,50,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\App.g.i.cs,71,42,29,0,11,0,18,50,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\AutoLunchToolBar.g.i.cs,89,59,36,2,15,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\AutomationClient_Content.g.i.cs,14,2,0,0,4,1,8,30,0,1
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Designer.g.cs,668,483,195,9,170,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Designer.g.i.cs,668,483,195,9,170,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\GeneratedInternalTypeHelper.g.cs,63,27,13,3,10,1,26,66,0,1
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\GeneratedInternalTypeHelper.g.i.cs,63,27,13,3,10,1,26,66,0,1
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\MainWindow.g.i.cs,111,75,42,2,21,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\SerachUserControl.g.cs,175,120,56,2,40,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\SerachUserControl.g.i.cs,175,120,56,2,40,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\SettingsView.g.i.cs,76,49,33,1,12,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\SettingsWindow.g.cs,207,144,66,2,48,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\SettingsWindow.g.i.cs,207,144,66,2,48,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\AutoItUIView.g.cs,152,105,53,2,32,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\AutoItUIView.g.i.cs,152,105,53,2,32,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\ClockWin.g.i.cs,75,48,32,1,12,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\Command.g.i.cs,118,80,44,2,23,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\ConditionView.g.cs,130,89,47,2,26,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\ConditionView.g.i.cs,130,89,47,2,26,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\Copy of DateTimeView.g.i.cs,141,97,50,2,29,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\Copy of FileView.g.i.cs,147,101,51,2,31,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\Copy of Hr80PSView.g.i.cs,160,111,55,2,34,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\Copy of LableView.g.i.cs,136,93,48,2,28,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\Copy of ListActionView.g.i.cs,169,117,57,2,37,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\Copy of MotorControlerView.g.i.cs,147,101,51,2,31,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\Copy of PingView.g.i.cs,141,97,50,2,29,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\Copy of RelayControlView.g.i.cs,141,97,50,2,29,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\Copy of RunProgramView.g.i.cs,169,117,57,2,37,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\Copy of Sleep.g.i.cs,118,80,44,2,23,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\Copy of SqlitView.g.i.cs,152,105,53,2,32,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\Copy of TextManipulationView.g.i.cs,147,101,51,2,31,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\Copy of VariableView.g.i.cs,181,125,59,2,41,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\DateTimeView.g.cs,152,105,53,2,32,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\DateTimeView.g.i.cs,152,105,53,2,32,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\DictionaryActionView.g.cs,177,123,59,2,39,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\DictionaryActionView.g.i.cs,177,123,59,2,39,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\EmailView.g.cs,163,113,56,2,35,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\EmailView.g.i.cs,163,113,56,2,35,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\FileView.g.cs,147,101,51,2,31,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\FileView.g.i.cs,147,101,51,2,31,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\Hr80PSView.g.cs,160,111,55,2,34,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\Hr80PSView.g.i.cs,160,111,55,2,34,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\LableView.g.cs,136,93,48,2,28,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\LableView.g.i.cs,136,93,48,2,28,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\ListActionView.g.cs,169,117,57,2,37,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\ListActionView.g.i.cs,169,117,57,2,37,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\ListView.g.i.cs,181,125,59,2,41,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\MessageView.g.cs,119,81,44,2,23,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\MessageView.g.i.cs,119,81,44,2,23,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\MotorControlerView.g.cs,147,101,51,2,31,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\MotorControlerView.g.i.cs,147,101,51,2,31,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\PingView.g.cs,141,97,50,2,29,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\PingView.g.i.cs,141,97,50,2,29,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\RelayControlView.g.cs,147,101,51,2,31,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\RelayControlView.g.i.cs,147,101,51,2,31,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\Rs232View.g.cs,280,197,86,2,68,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\Rs232View.g.i.cs,280,197,86,2,68,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\RunProgram.g.i.cs,140,96,50,2,29,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\RunProgramView.g.cs,188,131,62,2,42,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\RunProgramView.g.i.cs,188,131,62,2,42,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\ScriptView.g.cs,175,121,58,2,39,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\ScriptView.g.i.cs,175,121,58,2,39,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\ServerComView.g.cs,160,111,55,2,34,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\ServerComView.g.i.cs,160,111,55,2,34,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\SettingsView.g.i.cs,163,112,55,2,36,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\SftpView.g.cs,163,113,56,2,35,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\SftpView.g.i.cs,163,113,56,2,35,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\Sleep.g.i.cs,118,80,44,2,23,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\SleepView.g.cs,119,81,44,2,23,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\SleepView.g.i.cs,119,81,44,2,23,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\SqlitView.g.cs,152,105,53,2,32,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\SqlitView.g.i.cs,152,105,53,2,32,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\SshView.g.cs,169,117,57,2,37,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\SshView.g.i.cs,169,117,57,2,37,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\SwitchView.g.cs,236,165,74,2,56,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\SwitchView.g.i.cs,236,165,74,2,56,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\SystemView.g.cs,119,81,44,2,23,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\SystemView.g.i.cs,119,81,44,2,23,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\TableView.g.cs,174,121,59,2,38,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\TableView.g.i.cs,174,121,59,2,38,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\TelnetView.g.cs,152,105,53,2,32,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\TelnetView.g.i.cs,152,105,53,2,32,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\TextManipulationView.g.cs,158,109,54,2,34,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\TextManipulationView.g.i.cs,158,109,54,2,34,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\TimersView.g.cs,130,89,47,2,26,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\TimersView.g.i.cs,130,89,47,2,26,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\VariableView.g.cs,192,133,62,2,44,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\VariableView.g.i.cs,192,133,62,2,44,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\Wait.g.i.cs,76,49,33,1,12,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\Simulators\SshView.g.i.cs,169,117,57,2,37,0,15,42,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\Simulators\WayneSimView.g.cs,141,97,50,2,29,0,15,42,0,0
